order_id,customer_id,order_date,delivery_date,delivery_days,region,product_category,payment_method,quantity,unit_price,discount,sales_amount,churn_status,rating,is_returned
ORD1000,CUST192,2023-04-12,2023-04-15,3,East,Sports,Net Banking,4,2058.67,0.28,5928.97,Retained,4,No
ORD1001,CUST356,2023-09-01,2023-09-02,1,West,Home Decor,Net Banking,3,1557.27,0.28,3363.7,Retained,5,Yes
ORD1002,CUST142,2023-07-17,2023-07-24,7,North,Beauty,Net Banking,1,1661.55,0.11,1478.78,Retained,3,No
ORD1003,CUST165,2023-02-08,2023-02-12,4,East,Electronics,Debit Card,1,4918.15,0.04,4721.42,Retained,2,No
ORD1004,CUST153,2023-01-27,2023-02-04,8,East,Beauty,Debit Card,2,3285.33,0.16,5519.35,Retained,4,No
ORD1005,CUST254,2023-09-08,2023-09-11,3,West,Electronics,Net Banking,3,3644.85,0.03,10606.51,Retained,4,No
ORD1006,CUST427,2023-05-04,2023-05-05,1,North,Clothing,Net Banking,3,4887.76,0.28,10557.56,Retained,3,No
ORD1007,CUST267,2023-08-10,2023-08-15,5,North,Electronics,COD,4,2010.57,0.06,7559.74,Retained,4,No
ORD1008,CUST287,2023-11-28,2023-11-30,2,East,Sports,Net Banking,4,4048.83,0.08,14899.69,Retained,5,No
ORD1009,CUST136,2023-08-28,2023-08-31,3,South,Home Decor,COD,4,2285.75,0.12,8045.84,Retained,3,No
ORD1010,CUST162,2023-10-08,2023-10-14,6,East,Clothing,UPI,2,4373.76,0.11,7785.29,Retained,4,No
ORD1011,CUST404,2023-02-19,2023-02-22,3,East,Electronics,Debit Card,2,1067.16,0.24,1622.08,Retained,4,No
ORD1012,CUST203,2023-01-29,2023-02-01,3,East,Beauty,Net Banking,4,4748.89,0.14,16336.18,Retained,4,No
ORD1013,CUST191,2023-05-21,2023-05-27,6,East,Clothing,Debit Card,3,1250.1,0.05,3562.78,Retained,5,Yes
ORD1014,CUST457,2023-12-07,2023-12-12,5,West,Clothing,Debit Card,2,1765.86,0.08,3249.18,Retained,4,Yes
ORD1015,CUST322,2023-02-05,2023-02-14,9,North,Electronics,Debit Card,3,3829.72,0.15,9765.79,Retained,4,No
ORD1016,CUST444,2023-08-10,2023-08-11,1,West,Clothing,UPI,3,2090.02,0.04,6019.26,Retained,4,No
ORD1017,CUST400,2023-04-03,2023-04-06,3,West,Beauty,Credit Card,1,3119.41,0.18,2557.92,Retained,4,No
ORD1018,CUST44,2023-04-01,2023-04-04,3,West,Clothing,Net Banking,4,2333.95,0.17,7748.71,Retained,4,No
ORD1019,CUST411,2023-10-27,2023-11-02,6,East,Beauty,Credit Card,1,3763.38,0.21,2973.07,Retained,5,Yes
ORD1020,CUST419,2023-10-18,2023-10-26,8,South,Electronics,Credit Card,4,1295.99,0.28,3732.45,Retained,4,No
ORD1021,CUST347,2023-10-06,2023-10-09,3,North,Home Decor,Credit Card,4,480.6,0.27,1403.35,Retained,3,No
ORD1022,CUST7,2023-11-20,2023-11-23,3,South,Clothing,Debit Card,3,1639.66,0.28,3541.67,Retained,3,No
ORD1023,CUST271,2023-02-18,2023-02-24,6,West,Home Decor,COD,4,2476.68,0.07,9213.25,Retained,1,No
ORD1024,CUST143,2023-12-04,2023-12-12,8,West,Beauty,Debit Card,3,1006.5,0.04,2898.72,Retained,1,Yes
ORD1025,CUST219,2023-06-26,2023-07-02,6,South,Clothing,Debit Card,3,1903.03,0.09,5195.27,Retained,5,No
ORD1026,CUST280,2023-09-30,2023-10-03,3,South,Sports,Credit Card,4,2119.92,0.27,6190.17,Retained,4,Yes
ORD1027,CUST124,2023-09-14,2023-09-18,4,South,Home Decor,Debit Card,3,475.48,0.29,1012.77,Retained,4,No
ORD1028,CUST86,2023-02-17,2023-02-18,1,West,Clothing,Credit Card,3,2999.87,0.26,6659.71,Retained,4,No
ORD1029,CUST341,2023-12-26,2024-01-03,8,West,Home Decor,COD,3,4444.85,0.03,12934.51,Retained,5,Yes
ORD1030,CUST78,2023-02-25,2023-03-01,4,North,Clothing,Net Banking,2,928.37,0.28,1336.85,Retained,4,No
ORD1031,CUST124,2023-01-23,2023-01-29,6,North,Electronics,Credit Card,3,3069.48,0.13,8011.34,Retained,5,No
ORD1032,CUST280,2023-01-11,2023-01-14,3,West,Home Decor,COD,2,3390.75,0.0,6781.5,Retained,4,No
ORD1033,CUST162,2023-02-15,2023-02-21,6,South,Sports,Net Banking,2,2212.81,0.13,3850.29,Retained,5,No
ORD1034,CUST228,2023-06-18,2023-06-27,9,South,Sports,UPI,3,3565.27,0.01,10588.85,Retained,4,No
ORD1035,CUST210,2023-05-12,2023-05-21,9,North,Beauty,Credit Card,3,2171.51,0.16,5472.21,Retained,3,No
ORD1036,CUST426,2023-12-14,2023-12-17,3,West,Clothing,Credit Card,2,2622.26,0.1,4720.07,Retained,4,Yes
ORD1037,CUST205,2023-05-27,2023-05-30,3,North,Home Decor,UPI,2,235.29,0.14,404.7,Retained,4,No
ORD1038,CUST380,2023-06-25,2023-06-29,4,North,Beauty,UPI,3,3520.26,0.18,8659.84,Retained,2,Yes
ORD1039,CUST147,2023-08-13,2023-08-20,7,East,Home Decor,Credit Card,3,3374.44,0.26,7491.26,Retained,4,No
ORD1040,CUST53,2023-12-30,2024-01-02,3,East,Clothing,UPI,4,384.32,0.2,1229.82,Retained,3,No
ORD1041,CUST358,2023-05-14,2023-05-22,8,East,Sports,Debit Card,2,1967.6,0.13,3423.62,Retained,2,Yes
ORD1042,CUST46,2023-09-06,2023-09-14,8,South,Electronics,Net Banking,2,4899.35,0.25,7349.02,Retained,5,No
ORD1043,CUST189,2023-11-18,2023-11-24,6,West,Sports,Net Banking,4,2219.54,0.27,6481.06,Retained,4,No
ORD1044,CUST201,2023-11-22,2023-11-26,4,West,Beauty,Net Banking,2,2609.34,0.04,5009.93,Retained,5,No
ORD1045,CUST372,2023-08-11,2023-08-16,5,West,Electronics,Debit Card,1,4567.66,0.16,3836.83,Retained,4,No
ORD1046,CUST215,2023-08-24,2023-08-26,2,West,Beauty,UPI,2,3642.86,0.09,6630.01,Retained,4,No
ORD1047,CUST98,2023-04-18,2023-04-24,6,East,Clothing,COD,4,2993.94,0.01,11856.0,Retained,4,No
ORD1048,CUST159,2023-05-26,2023-05-29,3,South,Electronics,UPI,1,4029.46,0.2,3223.57,Retained,4,No
ORD1049,CUST234,2023-07-04,2023-07-10,6,South,Beauty,Credit Card,3,4348.96,0.26,9654.69,Retained,5,No
ORD1050,CUST420,2023-09-25,2023-09-30,5,East,Clothing,Net Banking,4,2393.06,0.05,9093.63,Retained,3,No
ORD1051,CUST486,2023-02-03,2023-02-05,2,South,Sports,UPI,4,2480.52,0.24,7540.78,Retained,5,No
ORD1052,CUST257,2023-07-29,2023-08-03,5,East,Clothing,COD,3,2053.04,0.26,4557.75,Retained,5,No
ORD1053,CUST486,2023-10-27,2023-11-01,5,West,Home Decor,Credit Card,4,4840.19,0.27,14133.35,Retained,4,No
ORD1054,CUST419,2023-05-07,2023-05-16,9,East,Clothing,Debit Card,2,3546.4,0.08,6525.38,Retained,5,No
ORD1055,CUST202,2023-05-19,2023-05-27,8,West,Clothing,Debit Card,3,599.47,0.27,1312.84,Retained,4,No
ORD1056,CUST84,2023-03-20,2023-03-27,7,West,Home Decor,COD,4,4342.21,0.1,15631.96,Retained,5,No
ORD1057,CUST36,2023-03-23,2023-03-26,3,North,Beauty,Credit Card,3,2506.69,0.17,6241.66,Retained,4,No
ORD1058,CUST49,2023-04-03,2023-04-07,4,East,Beauty,Net Banking,3,530.02,0.02,1558.26,Retained,1,No
ORD1059,CUST130,2023-09-19,2023-09-25,6,North,Clothing,UPI,3,2838.64,0.01,8430.76,Retained,5,No
ORD1060,CUST136,2023-11-14,2023-11-17,3,East,Home Decor,Credit Card,1,2202.39,0.22,1717.86,Retained,4,No
ORD1061,CUST191,2023-04-27,2023-05-06,9,East,Home Decor,Debit Card,4,4413.2,0.13,15357.94,Retained,4,No
ORD1062,CUST243,2023-01-10,2023-01-18,8,North,Sports,COD,1,1179.17,0.08,1084.84,Retained,4,Yes
ORD1063,CUST82,2023-09-18,2023-09-24,6,North,Beauty,COD,4,4167.03,0.06,15668.03,Retained,2,Yes
ORD1064,CUST161,2023-11-22,2023-11-26,4,East,Electronics,UPI,2,2876.91,0.2,4603.06,Retained,4,No
ORD1065,CUST342,2023-02-16,2023-02-23,7,South,Beauty,COD,2,462.13,0.0,924.26,Retained,5,No
ORD1066,CUST445,2023-05-05,2023-05-08,3,West,Beauty,COD,2,4864.86,0.24,7394.59,Retained,1,No
ORD1067,CUST148,2023-01-29,2023-02-06,8,North,Sports,Credit Card,4,2660.55,0.02,10429.36,Retained,3,No
ORD1068,CUST77,2023-08-13,2023-08-14,1,West,Electronics,Net Banking,3,1596.21,0.06,4501.31,Retained,1,No
ORD1069,CUST284,2023-02-20,2023-02-23,3,South,Sports,UPI,3,2453.15,0.12,6476.32,Retained,4,No
ORD1070,CUST116,2024-01-01,2024-01-06,5,South,Electronics,Credit Card,1,4317.72,0.15,3670.06,Retained,4,Yes
ORD1071,CUST417,2023-04-15,2023-04-20,5,South,Clothing,Net Banking,1,1663.53,0.11,1480.54,Retained,5,Yes
ORD1072,CUST420,2023-11-09,2023-11-11,2,North,Electronics,Credit Card,2,1124.85,0.1,2024.73,Retained,5,No
ORD1073,CUST243,2023-10-24,2023-11-01,8,South,Sports,Credit Card,1,819.54,0.29,581.87,Retained,4,No
ORD1074,CUST370,2023-09-14,2023-09-19,5,North,Beauty,COD,4,1629.73,0.19,5280.33,Retained,3,No
ORD1075,CUST124,2023-06-01,2023-06-08,7,South,Electronics,Net Banking,4,3944.23,0.01,15619.15,Retained,5,No
ORD1076,CUST456,2023-12-10,2023-12-17,7,West,Electronics,UPI,1,2463.81,0.13,2143.51,Retained,5,No
ORD1077,CUST134,2023-11-09,2023-11-14,5,West,Home Decor,UPI,1,1291.91,0.26,956.01,Retained,4,No
ORD1078,CUST132,2023-11-29,2023-12-07,8,East,Beauty,Net Banking,1,997.69,0.09,907.9,Retained,4,No
ORD1079,CUST65,2023-01-30,2023-02-08,9,West,Clothing,COD,1,1797.1,0.03,1743.19,Retained,5,No
ORD1080,CUST457,2023-07-09,2023-07-13,4,East,Sports,Debit Card,2,4711.64,0.23,7255.93,Retained,4,No
ORD1081,CUST214,2023-01-12,2023-01-16,4,West,Clothing,Credit Card,2,1846.53,0.18,3028.31,Retained,4,No
ORD1082,CUST341,2023-04-27,2023-05-05,8,North,Beauty,COD,1,4943.0,0.17,4102.69,Retained,4,No
ORD1083,CUST296,2023-09-29,2023-09-30,1,West,Electronics,Net Banking,4,2529.11,0.02,9914.11,Retained,1,No
ORD1084,CUST103,2023-07-26,2023-07-30,4,East,Electronics,Credit Card,2,1059.99,0.04,2035.18,Retained,4,No
ORD1085,CUST444,2023-10-02,2023-10-08,6,East,Beauty,UPI,4,4477.47,0.19,14507.0,Retained,4,No
ORD1086,CUST308,2023-09-12,2023-09-16,4,South,Electronics,Debit Card,3,2409.71,0.06,6795.38,Retained,3,No
ORD1087,CUST106,2023-01-28,2023-02-03,6,North,Electronics,UPI,4,3606.42,0.15,12261.83,Retained,1,No
ORD1088,CUST348,2023-05-09,2023-05-14,5,West,Electronics,Net Banking,1,4921.82,0.16,4134.33,Retained,2,No
ORD1089,CUST171,2023-04-24,2023-05-03,9,South,Sports,Credit Card,3,440.84,0.09,1203.49,Retained,4,No
ORD1090,CUST297,2023-03-24,2023-04-02,9,West,Sports,Net Banking,2,664.13,0.28,956.35,Retained,5,No
ORD1091,CUST59,2023-01-28,2023-02-01,4,West,Home Decor,Credit Card,2,3658.19,0.25,5487.28,Retained,5,Yes
ORD1092,CUST322,2023-04-13,2023-04-17,4,South,Clothing,COD,3,1552.76,0.22,3633.46,Retained,3,No
ORD1093,CUST202,2023-07-15,2023-07-23,8,South,Beauty,Debit Card,4,1084.65,0.02,4251.83,Retained,4,No
ORD1094,CUST359,2023-10-23,2023-10-27,4,South,Beauty,COD,2,388.94,0.03,754.54,Retained,5,Yes
ORD1095,CUST96,2023-04-28,2023-04-30,2,South,Beauty,COD,1,304.86,0.15,259.13,Retained,3,No
